evidence_tier,evidence_label,sample_index,raw_row_id,host,dopant,defecttype,common_pair_fold_stratum,host_oof_fold,impurity_oof_fold,host_identity_novelty,impurity_identity_novelty,host_identity_novelty_robust_z,impurity_identity_novelty_robust_z,novelty_gap,host_minus_impurity_absolute_error_eV
canonical,CANONICAL — REPAIRED G2 OOF,8031,13502,ZrS2,P,adsorbate,4,0,2,1.852521196202753,1.3282005769064322,-0.02286226411405961,1.1657119285976556,-1.1885741927117153,-1.478208303451538
canonical,CANONICAL — REPAIRED G2 OOF,8032,13504,Re4Se8,Zr,adsorbate,4,3,2,1.6038662339006777,1.01980893154369,-0.14142394353475385,0.37930993984406214,-0.520733883378816,-0.24950663248697857
canonical,CANONICAL — REPAIRED G2 OOF,8033,13506,TaSe2,Si,interstitial,2,0,3,1.4056901068448444,0.8542573481034612,-0.235916706628235,-0.04284836572730877,-0.19306834090092623,0.6712422370910647
canonical,CANONICAL — REPAIRED G2 OOF,8034,13508,TiS2,B,interstitial,3,1,1,1.8205313608422036,1.4214595672602832,-0.03811540271875255,1.4035233498414326,-1.441638752560185,0.43779003620147705
canonical,CANONICAL — REPAIRED G2 OOF,8035,13512,SnSe2,Mo,adsorbate,3,0,1,2.419180997928411,0.5901272463492673,0.24732795099684507,-0.7163829456439199,0.963710896640765,1.0976220876749507
canonical,CANONICAL — REPAIRED G2 OOF,8036,13514,SnS2,C,adsorbate,0,0,0,1.9143929162778401,1.019916918998954,0.006638916851063596,0.37958530900810106,-0.37294639215703745,9.942298571268717
canonical,CANONICAL — REPAIRED G2 OOF,8037,13515,ZrS2,Sc,interstitial,3,0,2,1.852521196202753,1.113002256268307,-0.02286226411405961,0.6169539130320997,-0.6398161771461592,-0.895637551943461
canonical,CANONICAL — REPAIRED G2 OOF,8038,13516,ZrS2,Au,adsorbate,1,0,0,1.852521196202753,0.662398674947378,-0.02286226411405961,-0.5320900309874064,0.5092277668733468,-0.45569070180257165
canonical,CANONICAL — REPAIRED G2 OOF,8039,13518,SnSe2,Ti,adsorbate,2,0,3,2.419180997928411,0.7269204198923978,0.24732795099684507,-0.3675588923992218,0.6148868433960668,0.2648729833921122
canonical,CANONICAL — REPAIRED G2 OOF,8040,13519,ZrS2,Cu,adsorbate,4,0,4,1.852521196202753,0.7571231897640656,-0.02286226411405961,-0.2905415067141809,0.26767924260012127,0.1082841157913208
canonical,CANONICAL — REPAIRED G2 OOF,8041,13520,TaS2,Sn,adsorbate,2,4,3,0.00010407586548808468,0.5541139616738103,-0.9061170471335233,-0.8082172061246683,-0.09789984100885496,0.10774962107340502
canonical,CANONICAL — REPAIRED G2 OOF,8042,13523,SnSe2,Mn,adsorbate,0,0,1,2.419180997928411,0.897194107731093,0.24732795099684507,0.06664082981198112,0.18068712118486396,-0.5448492368062339
canonical,CANONICAL — REPAIRED G2 OOF,8043,13525,TaSe2,Ti,interstitial,1,0,3,1.4056901068448444,0.7269204198923978,-0.235916706628235,-0.3675588923992218,0.1316421857709868,-0.22188146909077977
canonical,CANONICAL — REPAIRED G2 OOF,8044,13530,TaSe2,Mn,interstitial,4,0,1,1.4056901068448444,0.897194107731093,-0.235916706628235,0.06664082981198112,-0.3025575364402161,0.3586249351501465
canonical,CANONICAL — REPAIRED G2 OOF,8045,13537,Re4Se8,Sc,interstitial,2,3,2,1.6038662339006777,1.113002256268307,-0.14142394353475385,0.6169539130320997,-0.7583778565668535,-0.7766586939493814
canonical,CANONICAL — REPAIRED G2 OOF,8046,13539,Re4Se8,Cu,adsorbate,4,3,4,1.6038662339006777,0.7571231897640656,-0.14142394353475385,-0.2905415067141809,0.14911756317942704,-0.40273504824540596
canonical,CANONICAL — REPAIRED G2 OOF,8047,13540,SnSe2,Si,adsorbate,1,0,3,2.419180997928411,0.8542573481034612,0.24732795099684507,-0.04284836572730877,0.29017631672415384,1.4465361833572388
canonical,CANONICAL — REPAIRED G2 OOF,8048,13543,SnSe2,S,adsorbate,2,0,2,2.419180997928411,1.3297973606180795,0.24732795099684507,1.1697837441131886,-0.9224557931163435,-1.0182787577311199
canonical,CANONICAL — REPAIRED G2 OOF,8049,13544,ZrS2,W,adsorbate,2,0,3,1.852521196202753,0.7004961445701594,-0.02286226411405961,-0.43494107663556314,0.4120788125215035,-0.1431409441874445
canonical,CANONICAL — REPAIRED G2 OOF,8050,13546,Re4Se8,Ba,adsorbate,3,3,3,1.6038662339006777,1.1435786611177314,-0.14142394353475385,0.694924071900182,-0.8363480154349359,0.02583281199137366
canonical,CANONICAL — REPAIRED G2 OOF,8051,13547,Re4Se8,Cr,adsorbate,4,3,1,1.6038662339006777,0.9251881178406561,-0.14142394353475385,0.13802585451799834,-0.27944979805275216,-0.7837491035461426
canonical,CANONICAL — REPAIRED G2 OOF,8052,13548,TaSe2,Sn,interstitial,3,0,3,1.4056901068448444,0.5541139616738103,-0.235916706628235,-0.8082172061246683,0.5723004994964334,-0.5035388867060346
