model,regime,split_id,n_seeds,validation_mae,validation_rmse,validation_bias,validation_spearman,validation_r2,test_mae,test_rmse,test_bias,test_spearman,test_r2
schnet,host_cv,host_cv5_f4,3,2.7769855094130134,4.120580098640221,2.409817053820102,0.5854687191023301,-1.3607865051233399,13.298123132811703,26.02768507281054,9.862927128418832,0.3028190681079042,-98.43985854454705
schnet,id_cv,id_cv5_f0,1,0.6087561352416408,1.8899347043208705,0.021331484256594608,0.9486464043051519,0.6370318798381022,0.5841567869708406,1.46518188770343,0.00474091231668945,0.9489463524211953,0.7804180984310374
schnet,id_cv,id_cv5_f1,1,0.5619589507663912,0.9429851372550896,-0.011068924043278043,0.9493602833189269,0.911582128007052,0.587551742311098,1.655548631628903,0.017477160365796652,0.947814299410348,0.721478472917071
schnet,id_cv,id_cv5_f2,1,0.5684073649451574,1.034451822171456,-0.0018894346777012705,0.9536228708891519,0.9024199386028724,0.541813009898312,0.9482024688955669,-0.02166790306287212,0.9548757469956043,0.91060102768221
schnet,id_cv,id_cv5_f3,1,0.5799419683167449,1.1706737577241957,-0.07388422023175774,0.9505708536827241,0.8707612817393091,0.5730958219767892,1.0473948399204445,-0.051201552657688304,0.9561853240426481,0.8999628272736715
schnet,id_cv,id_cv5_f4,1,0.5735729289246063,1.2616995127524964,-0.029996691679979134,0.9449963342231541,0.8371734092704106,0.5699461390562889,1.123162581335674,-0.07815388418339264,0.9503897948449668,0.8810385830232992
schnet,id_repeat,id_repeat_s42,1,0.5296851533579908,1.0583463522180754,-0.053105683501540095,0.9524731093237446,0.9018065046582086,0.6187985845079477,2.622972533160702,0.09003509352855814,0.9555744232637114,0.32801928234347855
schnet,id_repeat,id_repeat_s43,1,0.5176012701779739,0.9717676024932815,-0.04577426271886912,0.947875600729089,0.9036566415043195,0.5201492165091274,0.9110417371492353,-0.03969519469763661,0.9467864536107398,0.9132092349405817
schnet,id_repeat,id_repeat_s44,1,0.5262681248257155,0.999115428056453,0.0016193457574931241,0.9463187597527747,0.8904259650979234,0.5502164929141113,1.5616494761984714,-0.0011280562836979084,0.9611259852884632,0.773080435418336
schnet,id_repeat,id_repeat_s45,1,0.49092330438585646,0.8781897748627282,-0.034225574430418175,0.9651726234512903,0.9315422766345643,0.5476895421552213,1.1227325764560596,-0.012440735498809221,0.954224056640995,0.8770575740231554
schnet,id_repeat,id_repeat_s46,1,0.5046218251937056,0.9639050894770393,-0.061154161091463786,0.9553404536155197,0.9041973221126981,0.5943730362424243,2.5852310527523046,0.049496332020521575,0.9587621403535704,0.3516137118659214
schnet,pair_cv,pair_cv5_f0,1,0.6378928831403123,1.2580451616387842,-0.04480235135154595,0.9437087292575289,0.8436523239556696,0.6061654587152606,1.154360288796905,-0.016775599623529907,0.9412396601082529,0.8672160238651341
schnet,pair_cv,pair_cv5_f1,1,0.6389527333597482,1.1355322444784515,-0.03552648239725777,0.9408639774395304,0.8788595476667064,0.6604460741901429,1.4272663079024377,-0.05320562548429085,0.9382100327413343,0.7987624624004577
schnet,pair_cv,pair_cv5_f2,1,0.6125017820177759,1.0623415507995633,0.012623716696236091,0.9398410649693298,0.8840090256143458,0.6072522595936938,1.0965341089622562,-0.014581987732443001,0.9429966638431474,0.8870374363391886
schnet,pair_cv,pair_cv5_f3,1,0.6546020392619425,1.8982702510975111,-0.008461696520304662,0.9471863596404825,0.6636192400075672,0.6056879042186671,1.0119796835061479,-0.022745958387437287,0.943673567277193,0.8947457968017829
schnet,pair_cv,pair_cv5_f4,1,0.6045312624829303,1.1169217231261046,-0.008633626191003002,0.9418314699963325,0.8756893354376655,0.6589084201303963,1.8055519099400357,0.016067273820155353,0.9425892337499572,0.6956768279903788
